search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Serene Sonnets songs,"Insomnia Healing, Anxiety and Depressive States ✔ Sleep Instantly Within 3 Minutes ✔ Sleep Music",https://www.youtube.com/watch?v=COV4OgdOmtk&list=PLeWGphNNze20oZyK0HXjA_OdrC1YocRXX,Serene Sonnets: tranquility : turmoil,1
1,Serene Sonnets songs,"Insomnia Healing, Anxiety and Depressive States ✔ Sleep Instantly Within 3 Minutes ✔ Sleep Music",https://www.youtube.com/watch?v=5IUcUUe7UTU&list=PLeWGphNNze23ehKkvhe5yuy-uLF3RyaEu,Serene Sonnets: tranquility : turmoil,2
1,Serene Sonnets songs,Serene Music,https://www.youtube.com/watch?v=m7BEBJY0sMs&list=PLe5hxb1huCRMdXOKnQ28Km04z2BRYZEXt,Serene Sonnets: tranquility : turmoil,3
1,Serene Sonnets songs,Goodness Of God 🙏 Best Hillsong Praise and Worship Songs 2023 // Greatest Hits Christian Worship,https://www.youtube.com/watch?v=TndIY9jCdXE&list=PLp6MY5Ty9Yulg99aAHYajCguqWPNsBvex,Serene Sonnets: tranquility : turmoil,4
1,Serene Sonnets songs,World's Most Serene Music,https://www.youtube.com/watch?v=RaCNVFm7T0A&list=PLttliOxuXxsIgRG5CIcfinOY-VLTv2umC,Serene Sonnets: tranquility : turmoil,5
1,Serene Sonnets songs,Calm Romantic Piano Music,https://www.youtube.com/watch?v=3Bpuem8FQZ4&list=PLSlaa29EQHJ_zLR2Vy0WLQU1h9KwPNZjY,Serene Sonnets: tranquility : turmoil,6
1,Serene Sonnets songs,Sleeping Calm Music,https://www.youtube.com/watch?v=RIl-eeElbJA&list=PLF5VuyX6RxgpwakdMnCIox5bFlZY12L63,Serene Sonnets: tranquility : turmoil,7
1,Serene Sonnets songs,Top English Songs Soft and Smooth Playlist,https://www.youtube.com/watch?v=VHrLPs3_1Fs&list=PLn7MDcB_f91fNExr4gSl4SiRmE90dy5QF,Serene Sonnets: tranquility : turmoil,8
1,Serene Sonnets songs,Romantic Ballads: Best Romantic Songs of All Time (Music Playlist Updated in 2024),https://www.youtube.com/watch?v=lp-EO5I60KA&list=PL64G6j8ePNureM8YCKy5nRFyzYf8I2noy,Serene Sonnets: tranquility : turmoil,9
1,Serene Sonnets songs,Acoustic Playlist - Acoustic Covers of Popular Songs,https://www.youtube.com/watch?v=4ONfrkskNp4&list=PLwpFrtWg2EJFsZK90YBdU1PNei0Hfo0lb,Serene Sonnets: tranquility : turmoil,10
1,Serene Sonnets songs,"calm, romantic, relax international music",https://www.youtube.com/watch?v=bx1Bh8ZvH84&list=PL7GLl4EbTJMyaGxPaX73diZ5TaiJb6vh5,Serene Sonnets: tranquility : turmoil,11
1,Serene Sonnets songs,English Song Collection (Naxos),https://www.youtube.com/watch?v=s2Mi0PyMW6A&list=PLEhQ5Ooc2lLpSoFpHQ_qVxuLc4MBa92qN,Serene Sonnets: tranquility : turmoil,12
1,Serene Sonnets songs,Calm Sleep Stories,https://www.youtube.com/watch?v=5mGifCwig8I&list=PLgdxvG3Ulbiez-dGupy23jh1lITkDxy7i,Serene Sonnets: tranquility : turmoil,13
1,Serene Sonnets songs,Relaxing Sleep Music,https://www.youtube.com/watch?v=L6VBHflOeuY&list=PLQ_PIlf6OzqLTUTLKb9AFVIYFE0_CzTvd,Serene Sonnets: tranquility : turmoil,14
1,Serene Sonnets songs,Caily Music - 9,https://www.youtube.com/watch?v=4rX9LW_xSkY&list=PL9VhFJsk45y_rRHUQXimHfdU0-L720wki,Serene Sonnets: tranquility : turmoil,15
