artist_name,track_name,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
Dan + Shay,Tequila,196747,2018,69,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,SAD
Marshmello,Happier,214290,2018,81,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,ANGRY
Why Don't We,8 Letters,190027,2018,73,0.607,0.478,1,-5.702,0,0.031,0.649,0.0,0.0928,0.255,88.979,SAD
David Guetta,Say My Name,198947,2018,60,0.703,0.66,10,-5.119,0,0.123,0.137,0.0,0.192,0.79,95.031,ANGRY
Steve Aoki,Waste It On Me,192537,2018,61,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,ANGRY
Marshmello,Fly,193778,2018,57,0.63,0.9,4,-3.955,1,0.0387,0.000639,0.852,0.203,0.155,134.988,ANGRY
Ariana Grande,"thank u, next",207320,2018,50,0.743,0.662,1,-5.745,1,0.0534,0.268,1.36e-06,0.102,0.408,107.027,HAPPY
Marshmello,Happier - Stripped,250507,2018,43,0.629,0.308,5,-10.382,1,0.0339,0.744,0.000821,0.198,0.153,94.147,ANGRY
Abandoned,Ghosts,372428,2018,21,0.196,0.549,2,-7.076,0,0.0464,0.0224,0.000543,0.261,0.0503,133.484,SAD
FISHER,Losing It,248036,2018,72,0.76,0.964,2,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,125.003,SCARED
Marshmello,Imagine,231273,2018,38,0.7,0.933,8,-1.366,1,0.0316,0.00169,0.0517,0.424,0.234,110.047,ANGRY
Alec Benjamin,Water Fountain,218893,2018,75,0.723,0.504,8,-5.572,1,0.0392,0.388,7.4e-05,0.087,0.551,133.975,SAD
Jeremy Zucker,all the kids are depressed,169973,2018,72,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861,SAD
Alessia Cara,Out Of Love,227693,2018,70,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,SAD
Alan Walker,Darkside,211680,2018,72,0.43,0.606,4,-5.115,0,0.0431,0.131,0.0,0.173,0.123,169.988,ANGRY
Alan Walker,Ignite,210288,2018,69,0.681,0.864,8,-4.3,0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,ANGRY
Ruel,Say,227434,2018,57,0.617,0.315,3,-7.998,1,0.0326,0.771,0.0,0.0809,0.447,119.822,SAD
Lil Peep,Life is Beautiful,207587,2018,70,0.533,0.638,10,-9.411,1,0.0636,0.0385,0.000932,0.0758,0.324,135.056,SAD
Plested,Worthy Of You,190619,2018,48,0.451,0.452,1,-9.363,0,0.0574,0.439,0.0,0.478,0.386,57.523,SAD
Led Zeppelin,Stairway to Heaven - Remaster,482830,2018,39,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,SAD
Drake,Ratchet Happy Birthday,207307,2018,52,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958,HAPPY
Travis Scott,BUTTERFLY EFFECT,190557,2018,77,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,HAPPY
Travis Scott,NC-17,156886,2018,63,0.804,0.763,2,-5.48,1,0.0519,0.0678,0.0,0.368,0.0585,136.052,HAPPY
TV Girl,Blue Hair,217000,2018,80,0.751,0.72,4,-6.376,1,0.0303,0.554,0.0497,0.258,0.884,135.73,SCARED
girl in red,we fell in love in october,184154,2018,82,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,SCARED
Men I Trust,Show Me How,215111,2018,79,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,SCARED
Vansire,From the Subway Train,57370,2018,77,0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,SCARED
beabadoobee,Tired,199515,2018,71,0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,SCARED
"Dream, Ivory",welcome and goodbye,140643,2018,69,0.584,0.717,0,-5.175,0,0.0266,0.0194,0.756,0.0739,0.659,140.031,SCARED
Strawberry Guy,F Song,224655,2018,69,0.236,0.511,0,-10.788,0,0.0442,0.407,0.281,0.346,0.227,80.973,SCARED
Current Joys,Become the Warm Jets,334902,2018,66,0.44,0.227,7,-15.486,1,0.0459,0.772,0.00144,0.0951,0.0844,132.354,SCARED
Clairo,How - demo,127040,2018,66,0.649,0.428,8,-4.584,0,0.0313,0.766,0.00294,0.0816,0.514,77.057,SCARED
Current Joys,Fear,216540,2018,66,0.716,0.447,2,-8.314,1,0.0388,0.701,0.429,0.0855,0.506,93.955,SCARED
khai dreams,In Love,69389,2018,55,0.511,0.235,5,-13.345,1,0.127,0.918,0.0,0.105,0.584,117.769,SCARED
Maisie Peters,Worst of You,197369,2018,59,0.741,0.466,4,-7.258,1,0.0357,0.558,0.0,0.0583,0.351,102.058,SAD
Jubin Nautiyal,Humnava Mere,328992,2018,70,0.401,0.553,5,-8.263,0,0.0337,0.47,2.96e-06,0.124,0.364,79.144,HAPPY
GFRIEND,Vacation,204827,2018,40,0.73,0.925,6,-2.501,1,0.0456,0.174,0.0,0.235,0.86,123.075,SCARED
Pop Evil,When We Were Young,263777,2018,29,0.409,0.813,0,-4.277,1,0.0561,0.000146,0.037,0.106,0.448,163.967,HAPPY
Joji,SLOW DANCING IN THE DARK,209274,2018,82,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,SCARED
Billie Eilish,lovely (with Khalid),200186,2018,87,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,SAD
Joji,YEAH RIGHT,174358,2018,77,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,SCARED
Calum Scott,Dancing On My Own,260285,2018,79,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,SAD
Conan Gray,Lookalike,220867,2018,69,0.434,0.302,10,-10.117,1,0.0378,0.766,7.63e-06,0.149,0.173,121.645,SAD
Joji,WANTED U,251015,2018,67,0.305,0.715,7,-7.54,1,0.0554,0.105,0.0495,0.0906,0.29,82.977,SCARED
Eyedress,Cocaine Sunday,168740,2018,66,0.544,0.765,4,-6.491,1,0.0259,0.00818,0.821,0.15,0.429,153.916,SCARED
Tate McRae,Teenage Mind,155205,2018,68,0.671,0.335,4,-9.719,0,0.0605,0.756,1.85e-06,0.109,0.115,119.369,SAD
Lewis Capaldi,Someone You Loved,182161,2018,71,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,SAD
Joji,R.I.P. (feat. Trippie Redd),158726,2018,62,0.716,0.515,11,-9.651,0,0.0305,0.618,0.257,0.136,0.383,99.284,SAD
Calum Scott,Dancing On My Own - Tiësto Remix,222890,2018,63,0.637,0.602,1,-5.546,1,0.0346,0.0176,0.000179,0.0818,0.291,122.019,SAD
Demi Lovato,Sober,197893,2018,64,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,SAD
