search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
2,Melancholic Melodies songs,Best Sad Songs that Make You Cry - Romance Music Playlist,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,10
2,Melancholic Melodies songs,Depressing Rock Songs,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,11
2,Melancholic Melodies songs,Playlist... The Most Beautiful & Famous French Songs!,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,12
2,Melancholic Melodies songs,Sad Indie Songs for Lonely Nights,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,13
2,Melancholic Melodies songs,Beautifully haunting songs,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,14
2,Melancholic Melodies songs,Sad rock songs,https://www.youtube.com/watch?v=vjncyiuwwXQ&list=PLuOrYafYkzMGxU0k7mQZHh9eIc4JRJaVc,Melancholic Melodies: sadness : melancholy,15
3,Jazzy Nights songs,Jazzynite kompas tv,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,1
3,Jazzy Nights songs,"Cozy Jazz Music & Bookstore Cafe Ambience with Relaxing Smooth Piano Jazz Music for Study, Sleeping",https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,2
3,Jazzy Nights songs,Best Jazz Songs of all Time - Most Popular Jazz Songs Ever,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,3
3,Jazzy Nights songs,jazzy night song,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,4
3,Jazzy Nights songs,Night Jazzy Songs,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,5
3,Jazzy Nights songs,Jazzy Nights,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,6
3,Jazzy Nights songs,Jazz Music (No Copyright),https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,7
3,Jazzy Nights songs,dj jazzy d old school mixes,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,8
3,Jazzy Nights songs,jazzy night music,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,9
3,Jazzy Nights songs,South African Jazz,https://www.youtube.com/watch?v=rJHCtij6vaA&list=PLXhBCIpiv5ksuQ3-zRF_RIPTAup4-Dgkd,Jazzy Nights: nostalgia : loneliness,10
