search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Serene Sonnets songs,"Insomnia Healing, Anxiety and Depressive States ✔ Sleep Instantly Within 3 Minutes ✔ Sleep Music",https://www.youtube.com/watch?v=COV4OgdOmtk&list=PLeWGphNNze20oZyK0HXjA_OdrC1YocRXX,Serene Sonnets: tranquility : turmoil,1
1,Serene Sonnets songs,"Insomnia Healing, Anxiety and Depressive States ✔ Sleep Instantly Within 3 Minutes ✔ Sleep Music",https://www.youtube.com/watch?v=5IUcUUe7UTU&list=PLeWGphNNze23ehKkvhe5yuy-uLF3RyaEu,Serene Sonnets: tranquility : turmoil,2
1,Serene Sonnets songs,🪐 Copyright Free Emotional Music,https://www.youtube.com/watch?v=XQaNaFtI11Q&list=PLfP6i5T0-DkKt8eo7u222EnUO4N7Q3raT,Serene Sonnets: tranquility : turmoil,3
1,Serene Sonnets songs,Serene Music,https://www.youtube.com/watch?v=m7BEBJY0sMs&list=PLe5hxb1huCRMdXOKnQ28Km04z2BRYZEXt,Serene Sonnets: tranquility : turmoil,4
1,Serene Sonnets songs,Calm Romantic Piano Music,https://www.youtube.com/watch?v=3Bpuem8FQZ4&list=PLSlaa29EQHJ_zLR2Vy0WLQU1h9KwPNZjY,Serene Sonnets: tranquility : turmoil,5
1,Serene Sonnets songs,World's Most Serene Music,https://www.youtube.com/watch?v=RaCNVFm7T0A&list=PLttliOxuXxsIgRG5CIcfinOY-VLTv2umC,Serene Sonnets: tranquility : turmoil,6
1,Serene Sonnets songs,Romantic Ballads: Best Romantic Songs of All Time (Music Playlist Updated in 2024),https://www.youtube.com/watch?v=lp-EO5I60KA&list=PL64G6j8ePNureM8YCKy5nRFyzYf8I2noy,Serene Sonnets: tranquility : turmoil,7
1,Serene Sonnets songs,Sleeping Calm Music,https://www.youtube.com/watch?v=RIl-eeElbJA&list=PLF5VuyX6RxgpwakdMnCIox5bFlZY12L63,Serene Sonnets: tranquility : turmoil,8
1,Serene Sonnets songs,Goodness Of God 🙏 Best Hillsong Praise and Worship Songs 2023 // Greatest Hits Christian Worship,https://www.youtube.com/watch?v=tiwVmgU9tIw&list=PLp6MY5Ty9Yulg99aAHYajCguqWPNsBvex,Serene Sonnets: tranquility : turmoil,9
1,Serene Sonnets songs,Caily Music - 9,https://www.youtube.com/watch?v=4rX9LW_xSkY&list=PL9VhFJsk45y_rRHUQXimHfdU0-L720wki,Serene Sonnets: tranquility : turmoil,10
1,Serene Sonnets songs,289 playlis n3 Part 07,https://www.youtube.com/watch?v=ddbrDVvuyBY&list=PLtz3GfXhpdtOGO_VVjnHAblWLHYcn883R,Serene Sonnets: tranquility : turmoil,11
1,Serene Sonnets songs,Rachel Music - 1,https://www.youtube.com/watch?v=1Y6NUR60cBE&list=PL5csJVJbI7YrLg97VGhmjDjrVYX2Up0ww,Serene Sonnets: tranquility : turmoil,12
1,Serene Sonnets songs,Amory Music - 9,https://www.youtube.com/watch?v=1rpH9C7q2NQ&list=PLNGSAsAr_4zfignLv9ZrisP4L8G7S6XF7,Serene Sonnets: tranquility : turmoil,13
1,Serene Sonnets songs,Nelly Music - Vol 1,https://www.youtube.com/watch?v=8-b0_VXmUFI&list=PLnx7kF-AkBHmnNQNmPcGYxxNxliyVoVmi,Serene Sonnets: tranquility : turmoil,14
1,Serene Sonnets songs,Amory Music - 2,https://www.youtube.com/watch?v=9iwYuAuZGDc&list=PLNGSAsAr_4zc3laukdEhNgNnjVuC-w0Su,Serene Sonnets: tranquility : turmoil,15
