search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Whispering Winds songs,RELAXING MUSIC,https://www.youtube.com/watch?v=yrPa4oSFw1k&list=PLeZaTANs6msh_TPa8pWhOHeyg_5-_CuZp,Whispering Winds: softness : harshness,1
1,Whispering Winds songs,Playlist 168 - Whispering Winds,https://www.youtube.com/watch?v=jM0QRuPyICE&list=PLQFnn8ETsLbyKqhz-Ga8Kb5Y9ZpmaaG5S,Whispering Winds: softness : harshness,2
1,Whispering Winds songs,Whisperings: Solo Piano Volume 1,https://www.youtube.com/watch?v=Lr9V0Ohe3Uo&list=PL1WMrwcLOnRx_dl0gyOJa3WrWzsK1X94A,Whispering Winds: softness : harshness,3
1,Whispering Winds songs,Lullaby Through Whispering Winds 🍃,https://www.youtube.com/watch?v=E52rxz2sjRs&list=PLmJR4jN3S3wz3PKbGaZiCPbUldS0IbQXU,Whispering Winds: softness : harshness,4
1,Whispering Winds songs,Whispering Winds,https://www.youtube.com/watch?v=_SU9RCUF8dM&list=PLF89C8A839B8820C2,Whispering Winds: softness : harshness,5
1,Whispering Winds songs,Whispering Winds & Country Strings,https://www.youtube.com/watch?v=__0Jaz7w-qI&list=PL_vWbUD2p8eTmO-w4NZGTeLK6leo-vIx5,Whispering Winds: softness : harshness,6
1,Whispering Winds songs,Whispering winds,https://www.youtube.com/watch?v=K_9tX4eHztY&list=PLGbYGh3401-upbqOzVBYSr-arTZpgcb5v,Whispering Winds: softness : harshness,7
1,Whispering Winds songs,Whispering wind,https://www.youtube.com/watch?v=paAJ1JBjJ9o&list=PLsmDbQ9aw-jwj4tEaMZJU1FjmNXMEtyMx,Whispering Winds: softness : harshness,8
1,Whispering Winds songs,Whispering Wind,https://www.youtube.com/watch?v=XKw6MewhYz8&list=PL8cCa21tXG_KrZZWyeoiI3X3EQ1dzM4w2,Whispering Winds: softness : harshness,9
1,Whispering Winds songs,Whisperings Solo Piano Radio,https://www.youtube.com/watch?v=LQvIrs7Xwdw&list=PLTFIWgoW0K5oKdqWNGFHC-3NIDH337xn_,Whispering Winds: softness : harshness,10
1,Whispering Winds songs,Whispering winds,https://www.youtube.com/watch?v=pmQVWH9u8Xo&list=PLA9226CD7D37A1A4C,Whispering Winds: softness : harshness,11
1,Whispering Winds songs,Whispering Winds of Rhymes,https://www.youtube.com/watch?v=b9pJ_-CLMRk&list=PLH6lBRdmrTgVrEz7A76gxK7XDpNS9JqHb,Whispering Winds: softness : harshness,12
