search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
1,Sonic Sanctuary songs,Sonic Superstars OST,https://www.youtube.com/watch?v=OOIBQbWgSGM&list=PLacrXFZ0srRpXeaDr5XEeKH5PxakSYE9J,Sonic Sanctuary: refuge : exposure,1
1,Sonic Sanctuary songs,Gaming Parody,https://www.youtube.com/watch?v=josT33vTs10&list=PLEDMCwDzoHq_-M6WglBbOELrBW-30rp0y,Sonic Sanctuary: refuge : exposure,2
1,Sonic Sanctuary songs,Best Sonic songs,https://www.youtube.com/watch?v=3gPBmDptqlQ&list=PLX23rzbpJ6CInmCN8JtbtmZwpAHale1d1,Sonic Sanctuary: refuge : exposure,3
1,Sonic Sanctuary songs,Sonic Dash music extended OST,https://www.youtube.com/watch?v=BIAYOl_Yu80&list=PL8tKjHTEp8rsJ4Y5F1NW6SXuAcK_hHZt9,Sonic Sanctuary: refuge : exposure,4
1,Sonic Sanctuary songs,Sonic Frontiers OST,https://www.youtube.com/watch?v=S-Qr3fHJb0Y&list=PLvNp0Boas720kf8hWiCDhdNqsuCYhkSKY,Sonic Sanctuary: refuge : exposure,5
1,Sonic Sanctuary songs,Sonic Superstars OST Music,https://www.youtube.com/watch?v=Wz20wINWEd4&list=PLiiTdjCB2RU9uJDAWNYVjbXUyV2PR10Zo,Sonic Sanctuary: refuge : exposure,6
1,Sonic Sanctuary songs,All of the Sonic Unused/Beta Music.,https://www.youtube.com/watch?v=tgvhn8zYZ-g&list=PL2gKFt6_vJ7a6bx0gTmkO3eYdP995BQ6m,Sonic Sanctuary: refuge : exposure,7
1,Sonic Sanctuary songs,Sonic Music 10 Hours,https://www.youtube.com/watch?v=ZZNwTMBNULY&list=PL9ns1WXBIV_B7pqut_drbiIkHuvjP-22M,Sonic Sanctuary: refuge : exposure,8
1,Sonic Sanctuary songs,Sonic Pocket Adventure OST,https://www.youtube.com/watch?v=fjS1H5hQwkc&list=PLvNp0Boas722xbfyTqLeNKrwm94ygIkMT,Sonic Sanctuary: refuge : exposure,9
1,Sonic Sanctuary songs,The ultimate Sonic music playlist,https://www.youtube.com/watch?v=Vq40xcLyyjQ&list=PLsMaMKmr7NoZusUUmF0oS8BBlLAXyVIO6,Sonic Sanctuary: refuge : exposure,10
1,Sonic Sanctuary songs,Sonic 3 Music Theory,https://www.youtube.com/watch?v=c5usoes9pIg&list=PLaberbaryjHBJ4uRwZ5S9ad4OerJLuE8E,Sonic Sanctuary: refuge : exposure,11
